train_loss,epoch,step
27.3125,1,49
0.0,2,99
0.54296875,3,149
0.07501220703125,4,199
0.22314453125,5,249
0.08489990234375,6,299
0.1329345703125,7,349
0.005603790283203125,8,399
0.01177978515625,9,449
